Source_File,Score_Sum,Count,Percentage
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,0,8,2.25
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,1,3,0.84
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,2,2,0.56
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,3,1,0.28
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,4,1,0.28
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,11,4,1.12
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,12,1,0.28
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,13,2,0.56
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,14,3,0.84
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,15,6,1.69
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,16,10,2.81
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,17,19,5.34
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,18,28,7.87
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,19,27,7.58
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,20,35,9.83
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,21,35,9.83
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,22,48,13.48
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,23,42,11.8
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,24,36,10.11
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,25,32,8.99
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,26,9,2.53
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,27,3,0.84
Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,28,1,0.28
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,0,1,0.28
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,4,1,0.28
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,7,1,0.28
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,9,1,0.28
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,10,1,0.28
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,12,1,0.28
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,13,1,0.28
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,14,1,0.28
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,15,5,1.4
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,16,9,2.53
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,17,23,6.46
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,18,56,15.73
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,19,24,6.74
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,20,48,13.48
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,21,71,19.94
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,22,50,14.04
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,23,40,11.24
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,24,20,5.62
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,25,1,0.28
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,26,1,0.28
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,11,3,0.84
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,12,1,0.28
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,13,2,0.56
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,14,10,2.81
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,15,30,8.43
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,16,51,14.33
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,17,72,20.22
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,18,85,23.88
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,19,46,12.92
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,20,33,9.27
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,21,15,4.21
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,22,8,2.25
Full_Evaluation(qwen3-max-gpt-5.2).csv,4,2,0.56
Full_Evaluation(qwen3-max-gpt-5.2).csv,6,4,1.12
Full_Evaluation(qwen3-max-gpt-5.2).csv,7,1,0.28
Full_Evaluation(qwen3-max-gpt-5.2).csv,9,3,0.84
Full_Evaluation(qwen3-max-gpt-5.2).csv,11,3,0.84
Full_Evaluation(qwen3-max-gpt-5.2).csv,13,1,0.28
Full_Evaluation(qwen3-max-gpt-5.2).csv,15,1,0.28
Full_Evaluation(qwen3-max-gpt-5.2).csv,16,1,0.28
Full_Evaluation(qwen3-max-gpt-5.2).csv,17,4,1.12
Full_Evaluation(qwen3-max-gpt-5.2).csv,18,14,3.93
Full_Evaluation(qwen3-max-gpt-5.2).csv,19,18,5.06
Full_Evaluation(qwen3-max-gpt-5.2).csv,20,20,5.62
Full_Evaluation(qwen3-max-gpt-5.2).csv,21,38,10.67
Full_Evaluation(qwen3-max-gpt-5.2).csv,22,58,16.29
Full_Evaluation(qwen3-max-gpt-5.2).csv,23,56,15.73
Full_Evaluation(qwen3-max-gpt-5.2).csv,24,51,14.33
Full_Evaluation(qwen3-max-gpt-5.2).csv,25,33,9.27
Full_Evaluation(qwen3-max-gpt-5.2).csv,26,40,11.24
Full_Evaluation(qwen3-max-gpt-5.2).csv,27,8,2.25
