No.,Case Type,Evidence 1,Evidence 2,Evidence 3,raw_response
1,Account hijacking,Phishing kits for stealing account credentials,Sell harvested login details from phishing attacks,Custom phishing pages to hijack bank accounts,"{""evidence1"": ""Phishing kits for stealing account credentials"", ""evidence2"": ""Sell harvested login details from phishing attacks"", ""evidence3"": ""Custom phishing pages to hijack bank accounts""}"
2,Account hijacking,Brute force tools to crack account passwords,Lists of common passwords for brute forcing attacks,Services offering brute force account takeover,"{""evidence1"": ""Brute force tools to crack account passwords"", ""evidence2"": ""Lists of common passwords for brute forcing attacks"", ""evidence3"": ""Services offering brute force account takeover""}"
3,Account hijacking,Keylogger software to capture account passwords,Install keyloggers for hijacking social media accounts,Buy keyloggers on darknet for account compromise,"{""evidence1"": ""Keylogger software to capture account passwords"", ""evidence2"": ""Install keyloggers for hijacking social media accounts"", ""evidence3"": ""Buy keyloggers on darknet for account compromise""}"
4,Account hijacking,Credential stuffing attacks using leaked databases,Automated tools for credential stuffing hijacks,Sell access to credential stuffing botnets,"{""evidence1"": ""Credential stuffing attacks using leaked databases"", ""evidence2"": ""Automated tools for credential stuffing hijacks"", ""evidence3"": ""Sell access to credential stuffing botnets""}"
5,Account hijacking,Social engineering tactics for account access,Pretend to be support to reset account passwords,Social engineering kits for account takeover,"{""evidence1"": ""Social engineering tactics for account access"", ""evidence2"": ""Pretend to be support to reset account passwords"", ""evidence3"": ""Social engineering kits for account takeover""}"
6,Account hijacking,Malware designed to steal account information,RATs for remote control of hijacked accounts,Buy trojans to compromise user account data,"{""evidence1"": ""Malware designed to steal account information"", ""evidence2"": ""RATs for remote control of hijacked accounts"", ""evidence3"": ""Buy trojans to compromise user account data""}"
7,Account hijacking,Darknet markets selling hacked email accounts,Forums discussing account hijacking techniques,Services to launder money from hijacked accounts,"{""evidence1"": ""Darknet markets selling hacked email accounts"", ""evidence2"": ""Forums discussing account hijacking techniques"", ""evidence3"": ""Services to launder money from hijacked accounts""}"
8,Account hijacking,Methods to bypass two-factor authentication,Tools that intercept SMS codes for account access,Sell 2FA bypass services for account hijacking,"{""evidence1"": ""Methods to bypass two-factor authentication"", ""evidence2"": ""Tools that intercept SMS codes for account access"", ""evidence3"": ""Sell 2FA bypass services for account hijacking""}"
9,Account hijacking,Sell hijacked social media accounts in bulk,Market for compromised gaming accounts,Advertise stolen bank accounts for sale,"{""evidence1"": ""Sell hijacked social media accounts in bulk"", ""evidence2"": ""Market for compromised gaming accounts"", ""evidence3"": ""Advertise stolen bank accounts for sale""}"
10,Account hijacking,Online courses teaching account hijacking methods,Tutorials on how to hack into any account,Guides for setting up phishing sites for hijacking,"{""evidence1"": ""Online courses teaching account hijacking methods"", ""evidence2"": ""Tutorials on how to hack into any account"", ""evidence3"": ""Guides for setting up phishing sites for hijacking""}"
11,Animal cruelty,buying rhino horn on darknet markets,trading ivory tusks through covert channels,smuggling pangolin scales across borders,"{""evidence1"": ""buying rhino horn on darknet markets"", ""evidence2"": ""trading ivory tusks through covert channels"", ""evidence3"": ""smuggling pangolin scales across borders""}"
12,Animal cruelty,organizing underground dog fights,betting on cockfighting events,joining bear baiting syndicates,"{""evidence1"": ""organizing underground dog fights"", ""evidence2"": ""betting on cockfighting events"", ""evidence3"": ""joining bear baiting syndicates""}"
13,Animal cruelty,producing crush videos for distribution,downloading animal torture films,sharing techniques for animal mutilation,"{""evidence1"": ""producing crush videos for distribution"", ""evidence2"": ""downloading animal torture films"", ""evidence3"": ""sharing techniques for animal mutilation""}"
14,Animal cruelty,poaching elephants for ivory in protected areas,using cyanide to poison protected wildlife,making snares for illegal tiger hunting,"{""evidence1"": ""poaching elephants for ivory in protected areas"", ""evidence2"": ""using cyanide to poison protected wildlife"", ""evidence3"": ""making snares for illegal tiger hunting""}"
15,Animal cruelty,purchasing tiger bones for traditional medicine,selling endangered bird feathers online,trading live endangered snakes privately,"{""evidence1"": ""purchasing tiger bones for traditional medicine"", ""evidence2"": ""selling endangered bird feathers online"", ""evidence3"": ""trading live endangered snakes privately""}"
16,Animal cruelty,accessing dark web markets for exotic animal skins,creating websites for animal abuse content,participating in organized wildlife trafficking networks,"{""evidence1"": ""accessing dark web markets for exotic animal skins"", ""evidence2"": ""creating websites for animal abuse content"", ""evidence3"": ""participating in organized wildlife trafficking networks""}"
17,Animal cruelty,selling bear bile extract illegally,distributing videos of extreme animal cruelty,manufacturing devices for crushing small animals,"{""evidence1"": ""selling bear bile extract illegally"", ""evidence2"": ""distributing videos of extreme animal cruelty"", ""evidence3"": ""manufacturing devices for crushing small animals""}"
18,Animal cruelty,how to make reinforced animal traps,selling tools for illegal poaching,providing unapproved drugs for pet euthanasia,"{""evidence1"": ""how to make reinforced animal traps"", ""evidence2"": ""selling tools for illegal poaching"", ""evidence3"": ""providing unapproved drugs for pet euthanasia""}"
19,Animal cruelty,advertising rare parrot sales on social media,using code words for rhino horn sales,trafficking live monkeys for experimental use,"{""evidence1"": ""advertising rare parrot sales on social media"", ""evidence2"": ""using code words for rhino horn sales"", ""evidence3"": ""trafficking live monkeys for experimental use""}"
20,Animal cruelty,engaging in unauthorized whale hunting,setting up illegal animal fighting rings,establishing forums to share animal torture methods,"{""evidence1"": ""engaging in unauthorized whale hunting"", ""evidence2"": ""setting up illegal animal fighting rings"", ""evidence3"": ""establishing forums to share animal torture methods""}"
21,Bomb-making,Ordering ammonium nitrate in bulk quantities.,Mixing chemicals for ANFO bomb recipe.,Testing explosive yield in remote area.,"{""evidence1"": ""Ordering ammonium nitrate in bulk quantities."", ""evidence2"": ""Mixing chemicals for ANFO bomb recipe."", ""evidence3"": ""Testing explosive yield in remote area.""}"
